train,dev,test
0.7953223794117025,0.835840675387145,0.8630436152117763
0.8237645118315041,0.7931872285076202,0.8436824090212302
0.8347290067457548,0.816796328564066,0.8615316772012348
0.840232400769735,0.846344516160699,0.8838117637176875
0.843943623252765,0.8575600657717133,0.8910354675458306
0.8479667575969041,0.8350798831815839,0.8740891623443439
0.8490663790733575,0.7102363364174049,0.748472312635182
0.8507263845714649,0.8365033008565048,0.8801159152474749
0.8513660682188247,0.8549341055783248,0.895340291048067
0.8534754382625981,0.8360124671754976,0.8781209970391214
0.8562139186703038,0.8165263700395121,0.85243904999895
0.8565416904565544,0.8306869217365696,0.8634845971315176
0.8571443676119183,0.6505264191228802,0.7025471955649818
0.8581488295375246,0.8562838982010945,0.8931563805883959
0.8606388377846856,0.846074557636145,0.8843787404716407
0.8611780752394849,0.8578545659803176,0.8895445286743243
0.8624151494004948,0.8220973323189438,0.8571848554209277
0.8630072532724312,0.8349571747613321,0.8658574998425065
0.8641068747488845,0.7154391734360812,0.7632557065160328
0.8646936919791072,0.8478906422558716,0.8721572415530964
0.8656188542790078,0.8569465236704543,0.8932823754226077
0.8649104442893696,0.8381475936878788,0.8713172759916843
0.8677282243227812,0.8418288462954328,0.8778480082316625
0.8684313476707056,0.8530443959064471,0.8766090590285798
0.8695521157140138,0.8462708911085479,0.8811448730602045
0.8697212882488528,0.8483814759368787,0.8863946578190294
0.8703715451796401,0.8611431516430658,0.8897125217866068
0.8711381082281292,0.8613885684835694,0.8929043909199723
0.8721637167205905,0.8481115174123248,0.8909304718506541
0.8735382435661571,0.8374604265344688,0.8778900065097331
