train,dev,test
0.5171663211892368,0.3629512971784889,0.33119754614521063
0.4070333708978485,0.43269296422120584,0.36288090742881507
0.3869495755984972,0.39172353354654615,0.32018284499660876
0.37677297870920584,0.3720587926857146,0.3240451442976555
0.3688655513176247,0.3370801657051208,0.2983132624699252
0.36191860160299466,0.3830339570338704,0.3225123564334882
0.35804371465477364,0.5634678049128625,0.4843903643248602
0.3534960644796058,0.36561207690649883,0.2959714612247928
0.34890858351978843,0.33068119878885593,0.27347240735066236
0.34493691929704245,0.3678960489472527,0.2986783290402011
0.3393467461927465,0.38720525546129186,0.3245016375826631
0.33606884417458954,0.368387288797995,0.30963631554454246
0.33296365260488,0.6770053616265658,0.5693564909390801
0.3310209134517468,0.3339210177669146,0.2686156642425466
0.32791687764671534,0.3427296832006753,0.27663661192993316
0.3241336154225347,0.32525661268829675,0.27375908438599067
0.3235622877012252,0.4148305857631652,0.3461599262992432
0.3207021816834228,0.3684954637650651,0.3094881882296957
0.31822655791673066,0.6185719968157405,0.5128609905733741
0.31737855745891036,0.3524490639144626,0.30369897631047515
0.31429780947055164,0.3252799835446771,0.26292319699951694
0.31268694493227556,0.3643383016518587,0.3070231935760827
0.311685099255933,0.3649977018271932,0.30013810486858233
0.30925752714579763,0.357536630008227,0.2966312028796545
0.3072854740731737,0.36521462743429134,0.29308245714017506
0.3050971034617344,0.3446194799641389,0.2817381020571298
0.30324976590744585,0.3218394468332094,0.2794454881588903
0.30269066554351676,0.32456881886562383,0.2683821771930575
0.3008846974658478,0.3525455184369555,0.27258593618402915
0.29880649292042244,0.37109635049088163,0.29855984121228424
